sep=,
Symbol,LongAdg,LongAdgWeighted,LongMaxHoursStuck,LongLowestEquityBalance,LongMeanEquityBalance,LongLpRatio,LongNetPnl,LongMaxDrawDown,LongMaxDrawDownMean,ShortAdg,ShortAdgWeighted,ShortMaxHoursStuck,ShortLowestEquityBalance,ShortMeanEquityBalance,ShortLpRatio,ShortNetPnl,ShortMaxDrawDown,ShortMaxDrawDownMean,Days
1000SHIBUSDT,0.101,0.0302,161.15,0.7814,0.9112,0.001481,16394.8,21.846,0.89491,,,,,,,,,,960.0
ADAUSDT,0.0623,0.0123,172.467,0.5907,0.7153,0.1662,14335.8,40.942,17.954,,,,,,,,,,1400.0
ALGOUSDT,0.0591,0.0496,130.883,0.9121,0.9814,0.0,11469.7,8.8626,1.0024,,,,,,,,,,1300.0
APTUSDT,0.0378,0.0453,108.483,0.8367,0.8534,0.1418,1798.08,16.638,7.2489,,,,,,,,,,440.0
ATOMUSDT,0.0571,0.0173,178.217,0.7214,0.9022,0.004976,12530.2,27.87,1.8507,,,,,,,,,,1400.0
AVAXUSDT,0.0737,0.0361,148.017,0.888,0.9323,0.002229,14086.6,11.233,1.1641,,,,,,,,,,1200.0
AXSUSDT,0.0582,0.015,99.4667,0.7705,0.8667,0.176,9355.73,22.31,10.958,,,,,,,,,,1100.0
BCHUSDT,0.0307,0.0501,148.933,0.5937,0.705,0.2253,5653.75,40.663,17.664,,,,,,,,,,1500.0
BNBUSDT,-0.000616,0.0054,340.767,0.4066,0.5194,0.9279,-86.9479,59.967,40.749,,,,,,,,,,1400.0
BSVUSDT,0.122,0.0728,108.433,0.912,0.9974,0.0,911.01,0.43575,0.20357,,,,,,,,,,71.0
BTCUSDT,0.0282,0.00658,335.717,0.9485,0.9763,0.0,5088.6,4.8668,1.0975,,,,,,,,,,1500.0
DOGEUSDT,0.111,0.0428,169.517,0.8781,0.9885,0.0,30639.1,1.9179,0.433,,,,,,,,,,1300.0
DOTUSDT,0.0645,0.0274,159.6,0.8268,0.9637,0.0,12047.0,17.329,1.2957,,,,,,,,,,1200.0
EGLDUSDT,0.0789,0.0267,115.85,0.9036,0.9471,0.0009709,15822.8,9.6577,1.0785,,,,,,,,,,1200.0
EOSUSDT,0.0712,0.00943,153.05,0.8527,0.8586,0.09005,18113.4,16.23,10.439,,,,,,,,,,1500.0
ETCUSDT,0.0836,0.0499,163.433,0.6192,0.7225,0.02494,23428.9,38.114,6.9585,,,,,,,,,,1400.0
ETHUSDT,0.0475,0.0205,198.9,0.5772,0.7735,0.001859,10002.6,42.307,1.5197,,,,,,,,,,1500.0
FILUSDT,0.0681,0.031,148.7,0.853,0.8909,0.02899,12185.0,14.721,3.4772,,,,,,,,,,1200.0
FLOWUSDT,-0.021,0.0496,117.067,0.7491,0.7834,1.494,-1348.98,35.342,33.397,,,,,,,,,,690.0
FTMUSDT,0.107,0.0541,111.767,0.7463,0.8654,0.002036,25661.7,25.389,2.5808,,,,,,,,,,1200.0
GALAUSDT,0.0542,0.0698,106.333,0.8684,0.8975,0.04002,5712.83,13.19,3.5741,,,,,,,,,,830.0
GRTUSDT,0.0641,0.0393,133.167,0.8184,0.9249,0.003832,10315.2,18.501,1.6208,,,,,,,,,,1100.0
HBARUSDT,0.0554,0.0416,147.483,0.8501,0.9005,0.002615,7587.82,14.994,1.8535,,,,,,,,,,1000.0
ICPUSDT,0.0355,0.05,165.75,0.9657,0.9944,0.0,1775.66,1.0272,0.43216,,,,,,,,,,460.0
IMXUSDT,0.0429,0.058,109.233,0.9021,0.9836,0.0,3429.16,4.0328,0.67771,,,,,,,,,,690.0
INJUSDT,0.0454,0.0877,115.333,0.9405,0.9882,0.0,2550.69,2.1252,1.7989,,,,,,,,,,500.0
KASUSDT,0.0319,0.0371,26.2333,0.9922,0.9975,0.0,140.999,0.79644,0.26764,,,,,,,,,,44.0
KAVAUSDT,0.0653,0.0314,196.167,0.7895,0.8198,0.1042,12637.1,21.484,8.4877,,,,,,,,,,1300.0
LDOUSDT,0.0406,0.0304,85.0833,0.9671,0.9877,0.0,2072.34,2.0893,1.1368,,,,,,,,,,460.0
LINKUSDT,0.0704,0.035,105.567,0.8426,0.9319,0.0006839,17623.4,16.448,0.89183,,,,,,,,,,1400.0
LTCUSDT,0.0415,0.011,207.567,0.6348,0.7505,0.07442,8257.97,36.536,7.5451,,,,,,,,,,1500.0
MANAUSDT,0.0484,0.0305,149.1,0.7069,0.8582,0.102,6379.02,29.896,10.846,,,,,,,,,,1000.0
MATICUSDT,0.0805,0.0266,144.4,0.8526,0.8736,0.02893,15529.1,14.755,3.9028,,,,,,,,,,1200.0
MINAUSDT,0.0369,0.0456,132.917,0.9297,0.9626,0.0,1280.02,7.1062,0.80298,,,,,,,,,,330.0
MKRUSDT,0.0547,0.0264,169.95,0.9362,0.9856,0.0,9644.21,1.9359,0.5987,,,,,,,,,,1200.0
NEARUSDT,0.058,0.0357,151.383,0.8658,0.8879,0.1174,9723.29,14.953,10.864,,,,,,,,,,1200.0
NEOUSDT,0.0232,0.045,165.767,0.6964,0.7393,0.4416,3883.11,31.111,21.036,,,,,,,,,,1400.0
OPUSDT,0.0421,0.0361,70.3833,0.911,0.9254,0.04483,2748.07,8.9321,3.1078,,,,,,,,,,580.0
ORDIUSDT,0.171,0.173,35.1667,0.9915,0.9975,0.0,956.099,0.52236,0.24909,,,,,,,,,,53.0
QNTUSDT,0.0125,0.00986,195.217,0.9886,0.9911,0.0,561.701,0.99867,0.50307,,,,,,,,,,440.0
RNDRUSDT,0.0516,0.0678,71.6333,0.9614,0.9877,0.0,1861.65,1.6526,0.47274,,,,,,,,,,330.0
RUNEUSDT,0.105,0.0411,137.333,0.7905,0.8253,0.08697,25729.7,23.502,9.5445,,,,,,,,,,1200.0
SANDUSDT,0.0549,0.0678,105.683,0.7887,0.8172,0.3393,7994.34,28.244,19.305,,,,,,,,,,1100.0
SEIUSDT,0.182,0.17,63.05,0.9867,0.9941,0.0,2807.96,0.82147,0.47287,,,,,,,,,,140.0
SNXUSDT,0.0641,0.0498,107.133,0.8414,0.8761,0.04782,12038.9,15.554,4.5121,,,,,,,,,,1200.0
SOLUSDT,0.0793,0.0368,127.9,0.9399,0.9832,0.0,15909.5,2.4958,0.56134,,,,,,,,,,1200.0
STXUSDT,0.0753,0.16,95.0167,0.9225,0.949,0.0,2651.55,6.8207,1.312,,,,,,,,,,310.0
THETAUSDT,0.064,0.0291,105.883,0.8697,0.9004,0.002461,13169.6,11.649,2.1502,,,,,,,,,,1300.0
TIAUSDT,0.0952,0.0476,20.1167,0.9939,0.998,0.0,589.35,0.44694,0.43074,,,,,,,,,,60.0
TRXUSDT,0.0656,0.0108,378.3,0.9115,0.947,6.693e-05,15807.6,8.8751,0.68828,,,,,,,,,,1400.0
VETUSDT,0.0709,0.0178,148.083,0.8232,0.9238,0.0007508,17265.7,17.659,1.2301,,,,,,,,,,1400.0
XLMUSDT,0.063,0.037,248.017,0.5068,0.7391,0.1665,14772.0,49.451,12.57,,,,,,,,,,1400.0
XMRUSDT,0.0214,0.00648,346.883,0.6354,0.7654,0.1922,3565.12,36.533,10.441,,,,,,,,,,1400.0
XRPUSDT,0.107,0.0332,170.15,0.9108,0.9682,0.0,37357.1,8.2428,0.88341,,,,,,,,,,1500.0
XTZUSDT,0.0652,0.037,143.133,0.7492,0.927,0.0,15287.8,25.313,0.77515,,,,,,,,,,1400.0
